MatchScore,Title,Company,Location,PostedAt,IsRemote,URL,Source,Tags
10,Senior Workforce Analytics & Capacity Planner,Safelite AutoGlass,"Columbus, OH",2026-03-18,False,https://jooble.org/jdp/1374053320105374025,Jooble,Recent
10,Workforce Research Supervisor - Research Scientist Supervisor 2,Minnesota Department of Health,"Saint Paul, MN",2026-03-18,False,https://jooble.org/jdp/299375071893538344,Jooble,Recent
10,Regulatory Change Management Sr. Analyst,Securian Financial,"Saint Paul, MN",2026-03-18,False,https://jooble.org/jdp/2674862267263497563,Jooble,Recent
10,Vice President - Compliance Regulatory Change Lead,TD Bank,"New York, NY",2026-03-18,False,https://jooble.org/jdp/7541954892711006395,Jooble,Recent
10,Manager - Regulatory Change & Inventory Management,American Express,"Sunrise, FL",2026-03-18,False,https://jooble.org/jdp/9089318357902694986,Jooble,Recent
10,Supply Chain Transformation: Governance & Change Manager,Ally Financial Inc.,"Raleigh, NC",2026-03-18,False,https://jooble.org/jdp/-786714276147488337,Jooble,Recent
10,"Director, Business Strategy, Program and Change Management - Individual Investors",T. Rowe Price,"Owings Mills, MD",2026-03-18,False,https://jooble.org/jdp/-4540174646577149020,Jooble,Recent
8,"Director, Chief of Staff",Mastercard,"Weldon Spring, Saint Charles County",2026-03-06,False,https://www.adzuna.com/land/ad/5657060167?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=5491F8AE194505E7EE8DE72211205D202B4A64B6,Adzuna,"Target Company, Chief of Staff"
6,Workforce Planning (WFP) Consultant - Business Transformation (BT) Initiatives,ProSidian Consulting,"Silver Spring, MD",2026-03-17,False,https://jooble.org/jdp/6649733657815148153,Jooble,"Workforce Planning, Business Transformation"
5,"AI Creative Technologist, Vice President",JPMorgan Chase,"Columbus, OH, New York, NY, Plano, TX, Wilmington, DE",2026-03-12,False,https://www.themuse.com/jobs/jpmorganchase/ai-creative-technologist-vice-president,TheMuse,Target Company
5,"Forecast Analyst, Workforce Planning",Medical Guardian,"Philadelphia, Philadelphia County",2026-03-02,True,https://www.adzuna.com/details/5651548828?utm_medium=api&utm_source=0f860342,Adzuna,"Workforce Planning, Remote"
5,Organizational Effectiveness Senior Consultant,Lockheed Martin,"Stratford, Fairfield County",2026-03-07,False,https://www.adzuna.com/land/ad/5658282297?se=lpG6MqIj8RGNNvXIQ7TemA&utm_medium=api&utm_source=0f860342&v=B14839EB04CB266975CB20B1AF4C584A5DAE6D1E,Adzuna,Target Company
5,Organizational Effectiveness Senior Consultant,Lockheed Martin,"Manassas, Prince William County",2026-03-07,False,https://www.adzuna.com/details/5658113001?utm_medium=api&utm_source=0f860342,Adzuna,Target Company
5,Chief of Staff,NxT Level,"New York, NY",2026-03-15,True,https://jooble.org/jdp/-576425583776200882,Jooble,"Chief of Staff, Remote"
5,Chief of Staff to CEO,Bureau,"San Francisco, CA",2026-03-14,True,https://jooble.org/jdp/-4782160408620681060,Jooble,"Chief of Staff, Remote"
5,"Chief of Staff - Policy, Capital & Infrastructure Strategy",Sigma Decom,"Indianapolis, IN",2026-03-16,True,https://jooble.org/jdp/-2496321750327778829,Jooble,"Chief of Staff, Remote"
5,Senior Strategic Workforce Planner (Remote),Prattwhitney,Wisconsin,2026-03-14,True,https://jooble.org/jdp/2259623621577147917,Jooble,"Workforce Planning, Remote"
5,Strategic Workforce Planner (Remote/Hybrid),Q-Centrix,"Chicago, IL",2026-03-16,True,https://jooble.org/jdp/-6344126281058026497,Jooble,"Workforce Planning, Remote"
5,Organizational Change Management Specialist,Booz Allen Hamilton,"Mc Lean, VA",2026-03-14,False,https://jooble.org/jdp/-4747044119554716949,Jooble,Target Company
3,Chief of Staff,Banfield Pet Hospital,"Springfield, Greene County",2026-03-05,False,https://www.adzuna.com/land/ad/5655815768?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=12E44A9207C74558CC12231CBED774133871F368,Adzuna,Chief of Staff
3,Chief of Staff with Security Clearance,Amentum,"Rosslyn, Arlington County",2026-03-04,False,https://www.adzuna.com/land/ad/5653919624?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=2982852ACDD1229B42031EC4EF2A395D9CDF19F7,Adzuna,Chief of Staff
3,Chief of Staff to the President,University of Washington,"International, King County",2026-02-18,False,https://www.adzuna.com/land/ad/5635695358?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=ADA31552E22A4B0D96CDA54DA0BEEFCE4539BD24,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Apple Valley, Dakota County",2026-03-05,False,https://www.adzuna.com/land/ad/5655800827?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=331C58EC3A5DAA4CCD75C0C99EF832EB8E3E4600,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Kansas City, Jackson County",2026-03-05,False,https://www.adzuna.com/land/ad/5655815766?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=E4F06CAC04F155F77AA757CBB8C8EEDF1A837A04,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Lakeland, Shelby County",2026-03-04,False,https://www.adzuna.com/land/ad/5654539302?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=B4D1D00608CCD3B481438D7371A92F9211D6121B,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Madison, Dane County",2026-02-21,False,https://www.adzuna.com/land/ad/5640855483?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=15AED260D410098385EF6A67FB4A95520D72F437,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Matthews, Mecklenburg County",2026-03-10,False,https://www.adzuna.com/land/ad/5661211897?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=E113A604BCE329D9B62E736FF7BAD0D83063AD31,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Pelham, Westchester County",2026-03-05,False,https://www.adzuna.com/land/ad/5655782954?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=1145D253EF683489A3263DCEB1C79DC08D4ED8E4,Adzuna,Chief of Staff
3,AREA CHIEF OF STAFF,Banfield Pet Hospital,"Sacramento, Sacramento County",2026-03-04,False,https://www.adzuna.com/land/ad/5654275990?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=EF7A99E90C88D136684754DD286847068BD2E6BF,Adzuna,Chief of Staff
3,Area Chief of Staff,Banfield Pet Hospital,"Salisbury, Wicomico County",2026-03-16,False,https://www.adzuna.com/land/ad/5668907592?se=8GGyLqIj8RG33tIVupBjkQ&utm_medium=api&utm_source=0f860342&v=42AC182593E0709E0CC35CF103696B1C7A50A39A,Adzuna,Chief of Staff
